Nama Produk,Lemak Total (g),Lemak Jenuh (g),Gula (g),Natrium (g),Sajian per Kemasan,Takaran Saji,Kategori,Gula (g) per 100 ml,Lemak Total (g) per 100 ml,Natrium (g) per 100 ml,Gula (g) per 100 ml_scaled,Lemak Total (g) per 100 ml_scaled,Natrium (g) per 100 ml_scaled
MIZONE Cranberry,0.0,0.0,8,0.065,2.0,250.0,Minuman Isotonik,3.2,0.0,0.026000000000000002,-0.9720918241946624,-0.6493583970051195,-0.48380544488398464
Sunkist Lemon Water C,0.0,0.0,15,0.05,1.0,330.0,Minuman Rasa,4.545454545454546,0.0,0.015151515151515152,-0.9300290453319066,-0.6493583970051195,-0.5431128978501623
Sunkist Orange Water C,0.0,0.0,13,0.065,1.0,330.0,Minuman Rasa,3.939393939393939,0.0,0.0196969696969697,-0.9489762430178327,-0.6493583970051195,-0.5182634063838867
You C1000 Orange Water,0.0,0.0,40,0.06,1.0,500.0,Minuman Isotonik,8.0,0.0,0.011999999999999999,-0.822030018522128,-0.6493583970051195,-0.5603418786001133
You C1000 Lemon Water,0.0,0.0,37,0.06,1.0,500.0,Minuman Isotonik,7.3999999999999995,0.0,0.011999999999999999,-0.8407877442311948,-0.6493583970051195,-0.5603418786001133
Floridina Orange,0.0,0.0,19,0.025,2.0,175.0,Minuman Rasa,10.857142857142858,0.0,0.014285714285714287,-0.7327075151456193,-0.6493583970051195,-0.547846134319929
Im Coco Rasa Coco Melon,0.0,0.0,24,0.075,1.0,350.0,Minuman Nata de Coco,6.857142857142858,0.0,0.02142857142857143,-0.8577590198727314,-0.6493583970051195,-0.5087969334443533
Im Coco Rasa Mangga,0.0,0.0,21,0.035,1.0,350.0,Minuman Nata de Coco,6.0,0.0,0.01,-0.8845557708856839,-0.6493583970051195,-0.5712756548452745
Im Coco Rasa Stroberi,0.0,0.0,23,0.04,1.0,350.0,Minuman Nata de Coco,6.571428571428571,0.0,0.011428571428571429,-0.8666912702103823,-0.6493583970051195,-0.5634658146701593
NU Green Tea Rasa Madu,0.0,0.0,18,0.01,2.0,200.0,Minuman Teh Hijau,9.0,0.0,0.005,-0.79076714234035,-0.6493583970051195,-0.5986100954581776
NU Yogurt Tea,0.0,0.0,20,0.02,2.0,200.0,Minuman Teh,10.0,0.0,0.01,-0.7595042661585719,-0.6493583970051195,-0.5712756548452745
NU Green Tea,0.0,0.0,16,0.01,2.0,200.0,Minuman Teh Hijau,8.0,0.0,0.005,-0.822030018522128,-0.6493583970051195,-0.5986100954581776
NU Green Tea Rock Sugar,0.0,0.0,16,0.015,2.0,200.0,Minuman Teh Hijau,8.0,0.0,0.0075,-0.822030018522128,-0.6493583970051195,-0.584942875151726
Teh Javana Original,0.0,0.0,14,0.01,2.0,175.0,Minuman Teh,8.0,0.0,0.005714285714285714,-0.822030018522128,-0.6493583970051195,-0.59470517537062
Teh Javana Gula Batu,0.0,0.0,14,0.01,2.0,175.0,Minuman Teh,8.0,0.0,0.005714285714285714,-0.822030018522128,-0.6493583970051195,-0.59470517537062
Teh Gelas,0.0,0.0,14,0.01,2.0,200.0,Minuman Teh,7.000000000000001,0.0,0.005,-0.853292894703906,-0.6493583970051195,-0.5986100954581776
Fruit Tea Blackcurrant,0.0,0.0,15,0.06,2.0,250.0,Minuman Teh,6.0,0.0,0.023999999999999997,-0.8845557708856839,-0.6493583970051195,-0.494739221129146
Teh Gelas Blackcurrant,0.0,0.0,22,0.035,1.0,250.0,Minuman Teh,8.799999999999999,0.0,0.014000000000000002,-0.7970197175767056,-0.6493583970051195,-0.5494081023549521
Okky Jelly Drink Big Rasa Stroberi,0.0,0.0,10,0.06,1.0,220.0,Minuman Jeli,4.545454545454546,0.0,0.027272727272727275,-0.9300290453319066,-0.6493583970051195,-0.4768475872734276
Ultra Sari Kacang Ijo,0.0,0.0,20,0.065,1.0,200.0,Minuman Sari Kacang Hijau,10.0,0.0,0.0325,-0.7595042661585719,-0.6493583970051195,-0.4482706720872107
Ultra Sari Kacang Ijo Kids,0.0,0.0,15,0.05,1.0,150.0,Minuman Sari Kacang Hijau,10.0,0.0,0.03333333333333334,-0.7595042661585719,-0.6493583970051195,-0.4437149319850602
ABC Lychee Drink,0.0,0.0,19,0.02,1.0,250.0,Minuman Buah,7.6,0.0,0.008,-0.8345351689948391,-0.6493583970051195,-0.5822094310904358
ABC Minuman Buah Jeruk,0.0,0.0,18,0.035,1.0,250.0,Minuman Buah,7.199999999999999,0.0,0.014000000000000002,-0.8470403194675504,-0.6493583970051195,-0.5494081023549521
ABC Minuman Buah Sirsak,0.0,0.0,17,0.04,1.0,250.0,Minuman Buah,6.800000000000001,0.0,0.016,-0.8595454699402616,-0.6493583970051195,-0.5384743261097908
ABC Minuman Buah Apel,0.0,0.0,18,0.035,1.0,250.0,Minuman Buah,7.199999999999999,0.0,0.014000000000000002,-0.8470403194675504,-0.6493583970051195,-0.5494081023549521
ABC Minuman Sari Buah Jambu,0.0,0.0,18,0.03,1.0,250.0,Minuman Sari Buah,7.199999999999999,0.0,0.011999999999999999,-0.8470403194675504,-0.6493583970051195,-0.5603418786001133
ABC Minuman Asam Jawa,0.0,0.0,18,0.055,1.0,250.0,Minuman Asam Jawa,7.199999999999999,0.0,0.022000000000000002,-0.8470403194675504,-0.6493583970051195,-0.5056729973743072
Kapal Api Special Mix,0.5,0.0,17,0.0,1.0,23.0,Minuman Serbuk Kopi,73.91304347826086,2.1739130434782608,0.0,1.2386012985028922,-0.19639123098208933,-0.6259445360710806
TOP Plus,0.0,0.0,13,0.01,1.0,18.0,Minuman Serbuk Kopi,72.22222222222221,0.0,0.05555555555555555,1.1857413629298377,-0.6493583970051195,-0.32222852926104667
TOP Cappuccino,3.5,3.5,14,0.05,1.0,25.0,Minuman Serbuk Kopi,56.00000000000001,14.000000000000002,0.2,0.678588038203217,2.2677501521831953,0.4674330884450417
TOP Coffee Gula Aren,2.5,2.5,14,0.035,1.0,22.0,Minuman Serbuk Kopi,63.63636363636363,11.363636363636363,0.1590909090909091,0.9173227290458852,1.718424516297084,0.2437876652485621
TOP Coffee Gula Aren Tubruk,2.0,2.0,17,0.045,1.0,27.0,Minuman Serbuk Kopi,62.96296296296296,7.4074074074074066,0.16666666666666666,0.8962702871726341,0.8940852798140945,0.2852034843590212
TOP Avocado Coffee,3.5,3.5,11,0.03,1.0,22.0,Minuman Serbuk Kopi,50.0,15.909090909090908,0.13636363636363635,0.49101078111254876,2.6655376816179652,0.11954020791718452
Kapal Api Kopi Susu,3.5,2.5,18,0.05,1.0,31.0,Minuman Serbuk Kopi,58.06451612903226,11.29032258064516,0.16129032258064516,0.7431307503204361,1.7031484975015856,0.2558116127322438
Kapal Api Gula Aren,1.0,1.0,17,0.0,1.0,23.0,Minuman Serbuk Kopi,73.91304347826086,4.3478260869565215,0.0,1.2386012985028922,0.2565759350409409,-0.6259445360710806
FresCo Kopi moka,2.5,2.5,16,0.02,1.0,28.0,Minuman Serbuk Kopi,57.14285714285714,8.928571428571429,0.07142857142857142,0.7143170395538202,1.211042463446612,-0.23545252731532268
FresCo Kopi Susu,2.0,2.0,19,0.03,1.0,27.0,Minuman Serbuk Kopi,70.37037037037037,7.4074074074074066,0.1111111111111111,1.1278471477783971,0.8940852798140945,-0.018512522451012713
FresCo Cappuccino,2.0,2.0,18,0.06,1.0,25.0,Minuman Serbuk Kopi,72.0,8.0,0.24,1.178794057111665,1.0175607739596317,0.6861086133482661
Pikopi Gula Aren,2.5,2.5,12,0.005,1.0,20.0,Minuman Serbuk Kopi,60.0,12.5,0.025,0.8036395429303289,1.9552028076273043,-0.48927233300656525
Pikopi 3in1 KopiMix,2.5,2.5,11,0.025,1.0,20.0,Minuman Serbuk Kopi,55.00000000000001,12.5,0.125,0.6473251620214391,1.9552028076273043,0.05741647925149581
Pikopi Moccachino,2.0,2.0,12,0.01,1.0,19.0,Minuman Serbuk Kopi,63.1578947368421,10.526315789473683,0.05263157894736842,0.902364415083312,1.543956301632711,-0.3382135822510485
TOP White Coffee,3.0,3.0,14,0.025,1.0,21.0,Minuman Serbuk Kopi,66.66666666666666,14.285714285714285,0.11904761904761905,1.0120587174755153,2.3272829797176504,0.024875478521849355
TOP Coffee Kopi Susu,2.0,2.0,19,0.025,1.0,30.0,Minuman Serbuk Kopi,63.33333333333333,6.666666666666667,0.08333333333333334,0.9078491302029221,0.7397409121321732,-0.1703705258560296
TOP Coffee Kopi Mocca,2.0,2.0,21,0.06,1.0,30.0,Minuman Serbuk Kopi,70.0,6.666666666666667,0.2,1.116268304748109,0.7397409121321732,0.4674330884450417
TOP Coffee Kopi Gula,1.5,0.5,18,0.035,1.0,25.0,Minuman Serbuk Kopi,72.0,6.0,0.14,1.178794057111665,0.6008309812184439,0.13941980109020505
NEO Coffee Tiramisu,2.0,2.0,13,0.04,1.0,20.0,Minuman Serbuk Kopi,65.0,10.0,0.2,0.959953923839219,1.4342905667008194,0.4674330884450417
NEO Coffee Caramel Macchiato,2.5,2.5,12,0.05,1.0,20.0,Minuman Serbuk Kopi,60.0,12.5,0.25,0.8036395429303289,1.9552028076273043,0.7407774945740723
NEO Coffee Moccachino,2.5,2.5,12,0.04,1.0,20.0,Minuman Serbuk Kopi,60.0,12.5,0.2,0.8036395429303289,1.9552028076273043,0.4674330884450417
ABC Plus Gula,0.0,0.0,13,0.0,1.0,18.0,Minuman Serbuk Kopi,72.22222222222221,0.0,0.0,1.1857413629298377,-0.6493583970051195,-0.6259445360710806
ABC Kopi Susu Gula Aren,3.0,3.0,17,0.01,1.0,27.0,Minuman Serbuk Kopi,62.96296296296296,11.11111111111111,0.037037037037037035,0.8962702871726341,1.6658071182237015,-0.42346719819772466
ABC Kopi Mocca,2.5,2.0,17,0.02,1.0,27.0,Minuman Serbuk Kopi,62.96296296296296,9.25925925925926,0.07407407407407407,0.8962702871726341,1.2799461990188983,-0.22098986032436868
Luwak White Koffie Tarik Malaka,4.0,4.0,11,0.025,1.0,25.0,Minuman Serbuk Kopi,44.0,16.0,0.1,0.3034335240218806,2.684479944924383,-0.07925572381301944
Luwak Kopi Gula,0.5,0.0,16,0.0,1.0,23.0,Minuman Serbuk Kopi,69.56521739130434,2.1739130434782608,0.0,1.1026757498864663,-0.19639123098208933,-0.6259445360710806
Good Day Vanilla Latte,2.0,2.0,13,0.015,1.0,20.0,Minuman Serbuk Kopi,65.0,10.0,0.075,0.959953923839219,1.4342905667008194,-0.21592792687753476
Good Day Chococinno,2.5,2.5,13,0.04,1.0,20.0,Minuman Serbuk Kopi,65.0,12.5,0.2,0.959953923839219,1.9552028076273043,0.4674330884450417
Good Day Carrebian Nut,2.5,2.5,12,0.01,1.0,20.0,Minuman Serbuk Kopi,60.0,12.5,0.05,0.8036395429303289,1.9552028076273043,-0.35260012994205003
Good Day Mocacinno,2.0,2.0,13,0.01,1.0,20.0,Minuman Serbuk Kopi,65.0,10.0,0.05,0.959953923839219,1.4342905667008194,-0.35260012994205003
Good Day CooLin Coffee,2.0,2.0,13,0.02,1.0,20.0,Minuman Serbuk Kopi,65.0,10.0,0.1,0.959953923839219,1.4342905667008194,-0.07925572381301944
Energen Kurma,3.5,3.5,15,0.11,1.0,30.0,Minuman dengan Sereal,50.0,11.666666666666666,0.36666666666666664,0.49101078111254876,1.7815653939851426,1.3785811088751434
Energen Vanila,4.0,3.5,18,0.105,1.0,34.0,Minuman dengan Sereal,52.94117647058824,11.76470588235294,0.30882352941176466,0.5829604169413077,1.8019933250018674,1.0623591488435198
Energen Cokelat,3.5,3.0,16,0.21,1.0,35.0,Minuman dengan Sereal,45.714285714285715,10.0,0.6,0.35702702604778586,1.4342905667008194,2.654188337477286
Energen Kacang Hijau,3.0,3.0,14,0.17,1.0,32.0,Minuman dengan Sereal,43.75,9.375,0.53125,0.29561780497643614,1.3040625064691984,2.2783397790498694
Energen Jahe,3.5,3.5,16,0.16,1.0,32.0,Minuman dengan Sereal,50.0,10.9375,0.5,0.49101078111254876,1.6296326570482513,2.1074995252192252
Jangkrik Mas Serbat Uwuh,0.0,0.0,10,0.02,1.0,12.0,Minuman Jahe,83.33333333333334,0.0,0.16666666666666669,1.533106653838483,-0.6493583970051195,0.2852034843590214
Jangkrik Mas Serbat Jintan Hitam,0.0,0.0,11,0.0,1.0,12.0,Minuman Jahe,91.66666666666666,0.0,0.0,1.7936306220199658,-0.6493583970051195,-0.6259445360710806
INTRA Jahe Wangi,0.0,0.0,16,0.055,1.0,18.0,Minuman Serbuk,88.88888888888889,0.0,0.3055555555555556,1.7067892992928049,-0.6493583970051195,1.0444935013841063
INTRA Jahe Susu,1.5,1.5,23,0.07,1.0,26.0,Minuman Serbuk,88.46153846153845,5.769230769230769,0.2692307692307693,1.6934290957963183,0.5527467743636915,0.8459099584698535
KOKITA Wedang Jahe,0.0,0.0,16,0.0,1.0,18.0,Minuman Botanikal Serbuk,88.88888888888889,0.0,0.0,1.7067892992928049,-0.6493583970051195,-0.6259445360710806
Nutrisari Leci,0.0,0.0,9,0.015,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.13636363636363635,1.4857386596236677,-0.6493583970051195,0.11954020791718452
Nutrisari Kelapa Muda,0.0,0.0,9,0.12,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,1.0909090909090908,1.4857386596236677,-0.6493583970051195,5.33793341583504
Nutrisari Sirsak,0.0,0.0,10,0.02,1.0,11.0,Minuman Serbuk Rasa,90.9090909090909,0.0,0.18181818181818182,1.7699466249125584,-0.6493583970051195,0.36803512257993964
Tora Moka Kopi Susu & Cokelat,3.5,3.0,14,0.05,1.0,28.0,Minuman Serbuk Kopi,50.0,12.5,0.17857142857142858,0.49101078111254876,1.9552028076273043,0.3502854858183143
Nutrisari Mangga Gandaria,0.0,0.0,9,0.02,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.18181818181818182,1.4857386596236677,-0.6493583970051195,0.36803512257993964
Nutrisari Melon,0.0,0.0,9,0.025,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.2272727272727273,1.4857386596236677,-0.6493583970051195,0.6165300372426948
Nutrisari Strawberry,0.0,0.0,8,0.02,1.0,11.0,Minuman Serbuk Rasa,72.72727272727273,0.0,0.18181818181818182,1.2015306943347766,-0.6493583970051195,0.36803512257993964
Sidomuncul Susu Jahe,1.5,1.0,20,0.005,1.0,27.0,Minuman Serbuk,74.07407407407408,5.555555555555555,0.018518518518518517,1.243635578081279,0.508224360609291,-0.5247058671344026
Nutrisari Jeruk Peras,0.0,0.0,12,0.035,1.0,14.0,Minuman Serbuk Rasa,85.71428571428571,0.0,0.25,1.6075420733189063,-0.6493583970051195,0.7407774945740723
Jahe Merah AMH,0.0,0.0,20,0.0,2.0,20.0,Minuman Serbuk,100.0,0.0,0.0,2.0541545902014495,-0.6493583970051195,-0.6259445360710806
Nutrisari Madu Kurma,0.0,0.0,9,0.02,1.0,14.0,Minuman Serbuk Rasa,64.28571428571429,0.0,0.14285714285714285,0.937623297995092,-0.6493583970051195,0.15503948144043525
Nutrisari Madu Jeruk,0.0,0.0,9,0.015,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.13636363636363635,1.4857386596236677,-0.6493583970051195,0.11954020791718452
Tora Cafe Choco Latte,2.5,2.5,14,0.11,1.0,23.5,Minuman Serbuk Kopi,59.57446808510638,10.638297872340425,0.46808510638297873,0.7903361913636148,1.5672894367246029,1.9330243723709077
Nutrisari Markisa,0.0,0.0,11,0.05,1.0,11.0,Minuman Serbuk Rasa,100.0,0.0,0.4545454545454546,2.0541545902014495,-0.6493583970051195,1.8590046105564704
Nutrisari Sweet Orange,0.0,0.0,12,0.01,1.0,14.0,Minuman Serbuk Rasa,85.71428571428571,0.0,0.07142857142857142,1.6075420733189063,-0.6493583970051195,-0.23545252731532268
Nutrisari Anggur,0.0,0.0,8,0.02,1.0,11.0,Minuman Serbuk Rasa,72.72727272727273,0.0,0.18181818181818182,1.2015306943347766,-0.6493583970051195,0.36803512257993964
Nutrisari Jeju Orange,0.0,0.0,9,0.015,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.13636363636363635,1.4857386596236677,-0.6493583970051195,0.11954020791718452
Marimas Jambu Biji,0.0,0.0,2,0.065,1.0,6.0,Minuman Serbuk Rasa,33.33333333333333,0.0,1.0833333333333335,-0.030037155250418356,-0.6493583970051195,5.296517596724582
Marimas Cincau,0.0,0.0,5,0.03,1.0,6.0,Minuman Serbuk Rasa,83.33333333333334,0.0,0.5,1.533106653838483,-0.6493583970051195,2.1074995252192252
Pop Ice Blueberry,1.5,1.5,18,0.06,1.0,23.0,Minuman Serbuk Mengandung Susu,78.26086956521739,6.521739130434782,0.2608695652173913,1.3745268471193188,0.709543101063971,0.8002001915586441
Pop Ice Es Doger,1.5,1.5,17,0.02,1.0,23.0,Minuman Serbuk Rasa,73.91304347826086,6.521739130434782,0.08695652173913043,1.2386012985028922,0.709543101063971,-0.1505629601945057
Pop Ice Sultan Cheesu Red Velvet,1.5,1.0,17,0.2,1.0,23.0,Minuman Serbuk Rasa,73.91304347826086,6.521739130434782,0.8695652173913043,1.2386012985028922,0.709543101063971,4.127871222694668
Pop Ice Choco Cookies,2.5,2.0,16,0.05,1.0,23.0,Minuman Serbuk Rasa,69.56521739130434,10.869565217391305,0.21739130434782608,1.1026757498864663,1.6154774331100317,0.5625094036203566
Anget Sari Wedang Jahe,0.0,0.0,21,0.035,1.0,27.5,Minuman Serbuk,76.36363636363637,0.0,0.1272727272727273,1.315213880450333,-0.6493583970051195,0.06984122498463365
Pop Ice Durian,2.5,2.0,17,0.05,1.0,23.0,Minuman Serbuk Rasa Susu,73.91304347826086,10.869565217391305,0.21739130434782608,1.2386012985028922,1.6154774331100317,0.5625094036203566
Pop Ice Soursop,1.0,1.0,17,0.045,1.0,25.0,Minuman Serbuk Mengandung Susu,68.0,4.0,0.18,1.053742552384553,0.1841011884772561,0.3580953259934294
Pop Ice Coffee Moccacino,1.5,1.0,17,0.02,1.0,25.0,Minuman Serbuk Rasa,68.0,6.0,0.08,1.053742552384553,0.6008309812184439,-0.18859348626463168
Pop Ice Choco Cream,1.0,1.0,15,0.03,1.0,23.0,Minuman Serbuk Mengandung Susu,65.21739130434783,4.3478260869565215,0.13043478260869565,0.9667502012700403,0.2565759350409409,0.08712782774378172
Pop Ice Melon,1.0,1.0,19,0.03,1.0,23.0,Minuman Serbuk Mengandung Susu,82.6086956521739,4.3478260869565215,0.13043478260869565,1.5104523957357447,0.2565759350409409,0.08712782774378172
Pop Ice Cappuccino,2.0,1.5,16,0.015,1.0,23.0,Minuman Serbuk Rasa Susu,69.56521739130434,8.695652173913043,0.06521739130434782,1.1026757498864663,1.1625102670870013,-0.26940835416364944
Pop Ice Lychee,1.5,1.0,17,0.065,1.0,25.0,Minuman Serbuk Rasa,68.0,6.0,0.26,1.053742552384553,0.6008309812184439,0.7954463757998784
Pop Ice Kacang Hijau,2.0,2.0,20,0.04,1.0,25.0,Minuman Serbuk Mengandung Susu,80.0,8.0,0.16,1.428897066565889,1.0175607739596317,0.24875756354181722
Pop Ice Guava,1.0,1.0,17,0.06,1.0,25.0,Minuman Serbuk Rasa,68.0,4.0,0.24,1.053742552384553,0.1841011884772561,0.6861086133482661
Delizio Caffino Dark Cappuccino,2.5,2.0,12,0.045,1.0,25.0,Minuman Serbuk Kopi,48.0,10.0,0.18,0.4284850287489927,1.4342905667008194,0.3580953259934294
Delizio Caffino Kopi Latte Mocca,2.0,1.5,12,0.025,1.0,20.0,Minuman Serbuk Kopi,60.0,10.0,0.125,0.8036395429303289,1.4342905667008194,0.05741647925149581
Indocafe Coffeemix Mild,2.0,2.0,11,0.005,1.0,18.0,Minuman Serbuk Kopi,61.111111111111114,11.11111111111111,0.027777777777777776,0.8383760720211935,1.6658071182237015,-0.47408653266606365
Indocafe Cappuccino,2.5,2.5,14,0.01,1.0,25.0,Minuman Serbuk,56.00000000000001,10.0,0.04,0.678588038203217,1.4342905667008194,-0.4072690111678562
Indocafe Coffeemix,2.0,2.0,13,0.01,1.0,20.0,Minuman Serbuk,65.0,10.0,0.05,0.959953923839219,1.4342905667008194,-0.35260012994205003
Tora Susu Kopi Susu Full Cream,3.0,2.5,18,0.07,1.0,31.0,Minuman Serbuk Kopi,58.06451612903226,9.67741935483871,0.22580645161290325,0.7431307503204361,1.367076084000628,0.6085140722535737
Tora Bika Creamy Latte,4.5,4.5,8,0.035,1.0,25.0,Minuman Serbuk Kopi,32.0,18.0,0.14,-0.07172099015945556,3.1012097376655707,0.13941980109020505
Nutrisari Wdank Bajigur Coconut Latte,4.0,3.0,7,0.2,1.0,15.0,Minuman Serbuk,46.666666666666664,26.666666666666668,1.3333333333333335,0.38680119383995526,4.907038839544051,6.663239627369736
Lokalate Popcorn Latte,2.0,2.0,8,0.065,1.0,15.0,Minuman Serbuk Kopi,53.333333333333336,13.333333333333334,0.4333333333333333,0.5952203683851421,2.128840221269466,1.7430403170471842
Lokalate Aren Latte,2.5,2.5,6,0.06,1.0,15.0,Minuman Serbuk Kopi,40.0,16.666666666666664,0.4,0.17838201929476857,2.8233898758381115,1.5608107129611641
Lokalate Tape Ketan Latte,2.0,2.0,9,0.05,1.0,15.0,Minuman Serbuk Kopi,60.0,13.333333333333334,0.33333333333333337,0.8036395429303289,2.128840221269466,1.1963515047891236
Lokalate Avocado Latte,2.0,2.0,7,0.03,1.0,15.0,Minuman Serbuk Kopi,46.666666666666664,13.333333333333334,0.2,0.38680119383995526,2.128840221269466,0.4674330884450417
Kopi Tubruk Gadjah Special Mix,0.5,0.0,17,0.0,1.0,23.0,Minuman Serbuk Kopi,73.91304347826086,2.1739130434782608,0.0,1.2386012985028922,-0.19639123098208933,-0.6259445360710806
